姓名,國文,英文,數學,社會,自然
羅雅慧,12,15,9,11,8
王紹尹,13,14,14,6,8
黃季坤,15,11,12,13,14
許正書,9,10,14,13,6
張鈞蓮,9,12,6,12,12
陳緯陽,12,9,14,15,15
黃家慧,6,12,8,10,13
黃英善,8,10,15,6,12
葉旻芸,11,7,8,14,14
姚筱玫,10,9,11,7,13
黃國文,11,15,7,8,13
李孟勳,15,6,11,11,8
張政峰,13,7,12,8,6
林政盈,10,9,11,12,11
劉怡茹,8,10,14,6,9
徐偉啟,15,9,13,9,6
潘淑鈺,7,8,7,6,10
蔡卉以,12,12,13,11,8
王柔來,15,9,6,15,12
刁穎春,9,14,10,12,6
王珮雯,15,12,13,11,13
黃晉怡,9,10,8,13,11
黃克傑,14,7,7,10,11
陳志伸,6,7,11,11,14
王惠文,6,9,9,7,11
葉俊彥,14,12,9,15,6
吳小鑫,10,8,11,8,9
賴郁侑,12,6,12,11,13
林群喬,13,8,10,10,12
李千惠,8,14,13,6,15
呂天均,13,7,11,12,6
黃怡軍,7,6,7,6,11
鐘常宸,8,13,9,11,9
李威德,10,8,11,13,10
李傑亞,6,8,11,15,7
吳佳慧,11,6,12,7,12
蔡雅哲,12,14,14,12,10
李政名,14,9,13,10,14
吳家銘,6,9,14,7,8
林政枝,13,10,12,10,12
趙仁珊,6,11,8,6,15
賴佳宏,8,14,6,6,7
曾佐岑,13,7,9,6,13
黃綺恆,14,14,14,15,13
賴怡筠,15,10,15,12,13
曾怡伶,6,12,11,6,7
李家銘,6,10,15,14,13
鄭科季,9,10,12,13,14
賴仁傑,14,6,13,12,11
姜蕙珮,12,11,14,7,14
鄭耿幸,8,12,7,8,8
葉詩婷,10,9,12,8,14
趙雅茹,12,8,11,13,12
禹清妃,10,12,9,12,14
宋辛芬,11,7,6,10,9
林君鑫,10,6,7,12,9
吳宜平,7,6,9,10,7
張靜如,13,15,15,11,11
傅明憲,6,14,15,9,7
張向孝,13,11,6,8,8
賴財仰,13,13,7,6,8
呂偉傑,13,9,10,9,15
林阿珮,8,12,10,10,7
顧雅琳,12,15,9,12,13
楊靜怡,12,7,13,15,11
何怡婷,13,11,15,9,15
張柏毅,13,6,13,9,11
丁佳伶,11,15,15,13,12
陳秀彥,6,14,14,9,13
黃鳳珠,6,11,15,12,15
馮仕書,12,12,12,9,11
吳立偉,13,15,12,8,8
許家文,6,12,8,11,11
袁杰綸,11,7,7,11,11
張詩雅,12,11,12,9,15
蔡姿群,12,14,12,7,6
涂與斌,8,7,12,14,6
黃建宏,14,15,6,14,15
賴毓蘭,8,12,6,6,15
王裕仁,11,11,7,15,10
陳偉翔,6,14,6,7,15
彭宜珊,13,9,14,15,6
李健誠,13,10,15,15,10
沈欣怡,11,11,6,8,7
陳俊卿,11,9,12,12,11
劉家琇,7,12,14,15,15
邱美玲,6,7,7,6,8
惠忠意,13,6,14,15,13
黃國行,9,8,13,15,13
張靖雯,8,12,15,10,12
吳建銘,10,15,6,13,14
司阿青,13,14,13,8,9
張秀靖,6,11,11,12,6
呂建中,8,12,11,9,11
林怡松,6,14,14,14,13
陳君生,7,15,8,11,9
曾桂甫,8,6,14,6,6
林欣怡,14,10,6,11,10
林佳霖,6,8,14,8,15
胡筱芸,11,8,7,11,14
